Beta,AvgEnergy,StdEnergy,AvgMagnetization,StdMagnetization
0.5,-75.52,5.52536,20.2,14.0812
1,-95.52,2.147,52.84,35.6316
5,-89.08,3.68695,28.64,17.2439
10,-89.32,3.25847,32.16,23.9494
15,-88.68,3.20899,28.6,20.1524
20,-90.04,2.94591,28.68,20.312
