Step,Energy,Magnetization
0,19,-10
1000,-87,-44
2000,-91,-46
3000,-91,-44
4000,-91,-46
5000,-95,-70
6000,-95,-80
7000,-95,-88
8000,-95,-96
9000,-99,-100
10000,-99,-100
11000,-99,-100
12000,-99,-100
13000,-99,-100
14000,-99,-100
15000,-99,-100
16000,-99,-100
17000,-99,-100
18000,-99,-100
19000,-99,-100
20000,-99,-100
21000,-99,-100
22000,-99,-100
23000,-99,-100
24000,-99,-100
25000,-99,-100
26000,-99,-100
27000,-99,-100
28000,-99,-100
29000,-99,-100
30000,-99,-100
31000,-99,-100
32000,-99,-100
33000,-99,-100
34000,-99,-100
35000,-99,-100
36000,-99,-100
37000,-99,-100
38000,-99,-100
39000,-99,-100
40000,-99,-100
41000,-99,-100
42000,-99,-100
43000,-99,-100
44000,-99,-100
45000,-99,-100
46000,-99,-100
47000,-99,-100
48000,-99,-100
49000,-99,-100
50000,-99,-100
51000,-99,-100
52000,-99,-100
53000,-99,-100
54000,-99,-100
55000,-99,-100
56000,-99,-100
57000,-99,-100
58000,-99,-100
59000,-99,-100
60000,-99,-100
61000,-99,-100
62000,-99,-100
63000,-99,-100
64000,-95,-98
65000,-99,-100
66000,-99,-100
67000,-99,-100
68000,-99,-100
69000,-99,-100
70000,-99,-100
71000,-95,-98
72000,-99,-100
73000,-99,-100
74000,-99,-100
