Beta,Bin,Start,End,Count
0.5,1,0.0,1.8666666666666667,2
0.5,2,1.8666666666666667,3.7333333333333334,0
0.5,3,3.7333333333333334,5.6,5
0.5,4,5.6,7.466666666666667,4
0.5,5,7.466666666666667,9.333333333333334,1
0.5,6,9.333333333333334,11.2,5
0.5,7,11.2,13.066666666666666,4
0.5,8,13.066666666666666,14.933333333333334,0
0.5,9,14.933333333333334,16.8,2
0.5,10,16.8,18.666666666666668,3
0.5,11,18.666666666666668,20.533333333333335,2
0.5,12,20.533333333333335,22.4,0
0.5,13,22.4,24.266666666666666,5
0.5,14,24.266666666666666,26.133333333333333,3
0.5,15,26.133333333333333,28.0,0
0.5,16,28.0,29.866666666666667,2
0.5,17,29.866666666666667,31.733333333333334,2
0.5,18,31.733333333333334,33.6,1
0.5,19,33.6,35.46666666666667,2
0.5,20,35.46666666666667,37.333333333333336,1
0.5,21,37.333333333333336,39.2,2
0.5,22,39.2,41.06666666666667,0
0.5,23,41.06666666666667,42.93333333333334,0
0.5,24,42.93333333333334,44.8,0
0.5,25,44.8,46.666666666666664,1
0.5,26,46.666666666666664,48.53333333333333,0
0.5,27,48.53333333333333,50.4,0
0.5,28,50.4,52.266666666666666,1
0.5,29,52.266666666666666,54.13333333333333,1
0.5,30,54.13333333333333,56.0,1
1.0,1,0.0,3.3333333333333335,1
1.0,2,3.3333333333333335,6.666666666666667,1
1.0,3,6.666666666666667,10.0,4
1.0,4,10.0,13.333333333333334,3
1.0,5,13.333333333333334,16.666666666666668,4
1.0,6,16.666666666666668,20.0,1
1.0,7,20.0,23.333333333333336,2
1.0,8,23.333333333333336,26.666666666666668,0
1.0,9,26.666666666666668,30.0,2
1.0,10,30.0,33.333333333333336,1
1.0,11,33.333333333333336,36.66666666666667,2
1.0,12,36.66666666666667,40.0,0
1.0,13,40.0,43.333333333333336,2
1.0,14,43.333333333333336,46.66666666666667,3
1.0,15,46.66666666666667,50.0,2
1.0,16,50.0,53.333333333333336,0
1.0,17,53.333333333333336,56.66666666666667,0
1.0,18,56.66666666666667,60.0,0
1.0,19,60.0,63.333333333333336,1
1.0,20,63.333333333333336,66.66666666666667,0
1.0,21,66.66666666666667,70.0,0
1.0,22,70.0,73.33333333333334,1
1.0,23,73.33333333333334,76.66666666666667,0
1.0,24,76.66666666666667,80.0,0
1.0,25,80.0,83.33333333333334,5
1.0,26,83.33333333333334,86.66666666666667,2
1.0,27,86.66666666666667,90.0,2
1.0,28,90.0,93.33333333333334,0
1.0,29,93.33333333333334,96.66666666666667,0
1.0,30,96.66666666666667,100.0,11
5.0,1,4.0,6.2,5
5.0,2,6.2,8.4,1
5.0,3,8.4,10.600000000000001,0
5.0,4,10.600000000000001,12.8,4
5.0,5,12.8,15.0,1
5.0,6,15.0,17.200000000000003,3
5.0,7,17.200000000000003,19.400000000000002,4
5.0,8,19.400000000000002,21.6,5
5.0,9,21.6,23.8,1
5.0,10,23.8,26.0,1
5.0,11,26.0,28.200000000000003,5
5.0,12,28.200000000000003,30.400000000000002,2
5.0,13,30.400000000000002,32.6,0
5.0,14,32.6,34.800000000000004,2
5.0,15,34.800000000000004,37.0,1
5.0,16,37.0,39.2,0
5.0,17,39.2,41.400000000000006,1
5.0,18,41.400000000000006,43.6,2
5.0,19,43.6,45.800000000000004,2
5.0,20,45.800000000000004,48.0,2
5.0,21,48.0,50.2,1
5.0,22,50.2,52.400000000000006,0
5.0,23,52.400000000000006,54.6,1
5.0,24,54.6,56.800000000000004,2
5.0,25,56.800000000000004,59.00000000000001,0
5.0,26,59.00000000000001,61.2,2
5.0,27,61.2,63.400000000000006,1
5.0,28,63.400000000000006,65.60000000000001,0
5.0,29,65.60000000000001,67.80000000000001,0
5.0,30,67.80000000000001,70.0,1
10.0,1,0.0,2.933333333333333,3
10.0,2,2.933333333333333,5.866666666666666,2
10.0,3,5.866666666666666,8.799999999999999,6
10.0,4,8.799999999999999,11.733333333333333,3
10.0,5,11.733333333333333,14.666666666666666,2
10.0,6,14.666666666666666,17.599999999999998,0
10.0,7,17.599999999999998,20.53333333333333,5
10.0,8,20.53333333333333,23.466666666666665,0
10.0,9,23.466666666666665,26.4,2
10.0,10,26.4,29.333333333333332,4
10.0,11,29.333333333333332,32.266666666666666,1
10.0,12,32.266666666666666,35.199999999999996,1
10.0,13,35.199999999999996,38.13333333333333,2
10.0,14,38.13333333333333,41.06666666666666,2
10.0,15,41.06666666666666,44.0,1
