Beta,AvgEnergy,StdEnergy,AvgMagnetization,StdMagnetization
0.5,-3827.3,120.248,559.838,414.009
1,-4598.28,70.9897,693.65,496.504
5,-4640.32,69.3696,751.786,520.13
10,-4637.08,71.7224,725.048,513.897
15,-4639.46,69.9284,727.214,527.683
20,-4639.47,69.494,723.536,519.437
