Beta,Energy,Magnetization
20,-17044,198
20,-17128,692
20,-17068,138
20,-17140,1744
20,-17116,1096
20,-17156,1160
20,-17108,662
20,-16888,340
20,-17012,162
20,-17264,898
20,-17128,806
20,-16888,536
20,-16984,758
20,-17196,624
20,-17160,364
20,-17128,328
20,-17240,510
20,-17212,852
20,-17180,2460
20,-16944,1044
20,-17240,694
20,-17176,752
20,-16988,628
20,-17112,302
20,-16880,740
20,-17204,1934
20,-16980,420
20,-16996,486
20,-16820,1232
20,-16936,332
20,-17208,530
20,-17176,894
20,-17028,36
20,-17124,68
20,-17132,140
20,-17356,662
20,-17228,650
20,-16908,990
20,-17148,1372
20,-16924,138
20,-16980,4
20,-17336,540
20,-16904,2042
20,-17120,118
20,-17288,944
20,-17160,792
20,-16996,1600
20,-17200,382
20,-17088,736
20,-16824,1406
20,-16956,76
20,-17000,680
20,-17048,1182
20,-17124,1152
20,-16984,830
20,-16968,1308
20,-16968,186
20,-17200,220
20,-17180,2086
20,-16884,1414
20,-17108,112
20,-17020,1492
20,-17148,1564
20,-17120,1684
20,-17056,380
20,-17044,158
20,-17040,444
20,-17128,422
20,-17380,1562
20,-17160,1132
20,-17080,98
20,-16972,582
20,-17016,310
20,-17200,842
20,-17036,506
20,-17060,316
20,-17208,310
20,-17104,250
20,-17144,1214
20,-16800,12
20,-16956,430
20,-16960,636
20,-16972,1306
20,-17108,684
20,-17248,904
20,-17204,112
20,-16940,1228
20,-16944,508
20,-17276,708
20,-17136,654
20,-17052,1648
20,-17172,874
20,-17184,484
20,-17012,562
20,-17364,1640
20,-16936,636
