Beta,Energy,Magnetization
0.5,-13476,712
0.5,-13608,350
0.5,-13616,188
0.5,-13732,980
0.5,-13416,96
0.5,-13632,316
0.5,-13716,452
0.5,-13436,1156
0.5,-13396,268
0.5,-13664,742
0.5,-13964,940
0.5,-13928,116
0.5,-13576,346
0.5,-14064,448
0.5,-13796,498
0.5,-13656,956
0.5,-13572,120
0.5,-13680,330
0.5,-13708,1024
0.5,-13388,566
0.5,-13580,800
0.5,-14224,846
0.5,-13824,1068
0.5,-13976,1980
0.5,-13596,260
0.5,-13464,640
0.5,-13388,764
0.5,-14000,304
0.5,-13812,558
0.5,-13900,730
0.5,-13648,494
0.5,-14028,298
0.5,-13604,102
0.5,-13264,460
0.5,-13980,562
0.5,-13732,402
0.5,-13880,160
0.5,-13712,616
0.5,-14036,508
0.5,-13564,116
0.5,-13624,682
0.5,-13760,850
0.5,-13816,1074
0.5,-13924,908
0.5,-13596,64
0.5,-13492,502
0.5,-14052,772
0.5,-13512,42
0.5,-13692,82
0.5,-13716,892
0.5,-13576,1340
0.5,-13560,126
0.5,-13672,270
0.5,-13436,112
0.5,-13792,734
0.5,-13920,1088
0.5,-13604,94
0.5,-13392,170
0.5,-13596,614
0.5,-13644,396
0.5,-13708,296
0.5,-13880,1102
0.5,-13796,72
0.5,-13752,88
0.5,-13672,758
0.5,-13356,1224
0.5,-13068,92
0.5,-13896,484
0.5,-13492,442
0.5,-13360,1242
0.5,-13552,600
0.5,-13604,176
0.5,-13768,888
0.5,-13692,1058
0.5,-13788,176
0.5,-13764,1040
0.5,-13660,344
0.5,-13664,60
0.5,-13668,848
0.5,-14104,950
0.5,-13756,668
0.5,-13968,316
0.5,-14128,1130
0.5,-13916,136
0.5,-13316,752
0.5,-13676,488
0.5,-13484,1324
0.5,-13876,1840
0.5,-13372,240
0.5,-13692,120
0.5,-14068,456
0.5,-13712,778
0.5,-14008,498
0.5,-13416,138
0.5,-13708,332
0.5,-13844,188
0.5,-14044,268
0.5,-13868,1492
0.5,-13848,428
0.5,-14008,428
1,-16728,302
1,-16884,408
1,-16592,526
1,-16740,316
1,-16724,174
1,-16860,856
1,-16948,1980
1,-17032,110
1,-16812,2256
1,-16868,496
1,-16752,694
1,-16948,2412
1,-16732,1228
1,-16800,70
1,-16768,858
1,-16904,166
1,-17012,84
1,-16984,936
1,-16716,162
1,-16900,858
1,-16896,1080
1,-16920,1674
1,-16556,500
1,-16840,130
1,-16648,804
1,-16840,362
1,-16976,22
1,-16852,1210
1,-16848,494
1,-16980,1776
1,-16664,746
1,-17008,114
1,-16704,20
1,-16864,2660
1,-16768,1748
1,-17000,352
1,-16632,652
1,-16912,380
1,-16808,110
1,-16772,906
1,-16996,752
1,-16780,690
1,-16928,664
1,-16960,78
1,-16700,1078
1,-17000,1786
1,-16688,446
1,-16760,1222
1,-16840,914
1,-16656,710
1,-16700,1142
1,-16708,0
1,-16640,254
1,-16728,228
1,-16676,560
1,-16896,618
1,-16716,614
1,-16848,358
1,-16744,426
1,-17028,1742
1,-16748,932
1,-16956,484
1,-16948,556
1,-16816,2066
1,-16636,34
1,-16680,114
1,-16868,592
1,-16768,1448
1,-16888,82
1,-16868,464
1,-16840,362
1,-16864,900
1,-16956,600
1,-17064,1268
1,-17088,994
1,-16808,1164
1,-16756,814
1,-16676,1248
1,-16784,386
1,-16948,208
1,-16856,994
1,-17080,282
1,-16844,324
1,-16908,932
1,-16668,6
1,-16592,52
1,-16972,410
1,-16792,32
1,-16888,300
1,-16828,450
1,-16780,138
1,-16888,156
1,-16924,134
1,-16916,510
1,-16924,1870
1,-16780,418
1,-16612,392
1,-17156,724
1,-17060,1554
1,-16808,334
5,-16948,262
5,-16992,536
5,-17036,494
5,-17372,538
5,-17064,154
5,-17280,1484
5,-16972,1350
5,-17060,778
5,-17104,1156
5,-16968,422
5,-17108,94
5,-17196,354
5,-17176,430
5,-17164,516
5,-17088,1130
5,-17096,546
5,-17244,218
5,-17316,1520
5,-17312,742
5,-16836,14
5,-16920,1642
5,-16872,1010
5,-17144,1244
5,-17184,852
5,-17000,20
5,-16876,428
5,-17056,382
5,-17000,2134
5,-17004,910
5,-17156,506
5,-17376,214
5,-17104,606
5,-16864,350
5,-17032,274
5,-17064,570
5,-17204,1610
5,-17236,2798
5,-17136,1372
5,-17068,646
5,-17052,116
5,-17452,1432
5,-17080,156
5,-17072,368
5,-17128,1428
5,-17300,42
5,-16988,710
5,-17352,1800
5,-16936,1094
5,-17176,376
5,-16784,538
5,-17044,902
5,-16964,1500
5,-16884,198
5,-17084,1216
5,-17064,948
5,-16928,1188
5,-17108,1098
5,-16936,594
5,-17352,200
5,-17068,814
5,-16920,392
5,-17076,526
5,-17180,2362
5,-17304,1012
5,-17040,354
5,-17128,864
5,-17096,462
5,-17076,464
5,-17236,448
5,-17188,1222
5,-17112,704
5,-17128,1484
5,-16976,546
5,-17268,1202
5,-17284,1450
5,-16972,234
5,-17068,366
5,-17292,34
5,-17100,1836
5,-17020,780
5,-16928,26
5,-17004,1210
5,-16876,1480
5,-17108,720
5,-17244,1912
5,-17044,470
5,-17000,64
5,-17260,678
5,-16824,1132
5,-17072,222
5,-17312,214
5,-17172,724
5,-16932,480
5,-17084,982
5,-17204,14
5,-16988,1048
5,-17280,836
5,-16880,372
5,-17240,66
5,-17332,998
10,-17052,1740
10,-17084,996
10,-17252,52
10,-17272,1994
10,-17064,1592
10,-17148,44
10,-17020,624
10,-16808,594
10,-17092,546
10,-17180,1762
10,-17088,688
10,-16940,530
10,-17116,1390
10,-16976,784
10,-17388,2
10,-17240,604
10,-17316,890
10,-16976,1388
10,-17380,1234
10,-17128,362
10,-17104,656
10,-17296,1964
10,-16952,662
10,-16976,618
10,-17112,562
10,-17100,956
10,-16996,322
10,-16916,300
10,-17176,1234
10,-17220,192
10,-17188,364
10,-17424,892
10,-17256,1726
10,-16888,268
10,-16988,36
10,-17088,1204
10,-16944,660
10,-17092,186
10,-16880,588
10,-17136,1168
10,-16852,52
10,-17168,660
10,-17176,390
10,-17072,938
10,-17196,1354
10,-17004,272
10,-17112,880
10,-17004,84
10,-17356,1300
10,-17116,1024
10,-17116,1718
10,-17152,470
10,-17096,776
10,-17404,884
10,-17180,416
10,-17156,180
10,-16964,70
10,-17324,1794
10,-17068,286
10,-17244,1934
10,-16988,6
10,-16960,124
10,-16968,328
10,-17096,1300
10,-17368,554
10,-17016,1196
10,-17072,514
10,-16872,580
10,-17116,1456
10,-16992,168
10,-17360,2820
10,-17116,770
10,-17240,1338
10,-16988,914
10,-17040,1118
10,-17344,210
10,-17052,230
10,-16840,1050
10,-17032,390
10,-17228,870
10,-17120,916
10,-17068,250
10,-17104,512
10,-17344,928
10,-17052,90
10,-17160,228
10,-17244,480
10,-16976,688
10,-17208,902
10,-16852,208
10,-16944,98
10,-16944,498
10,-17076,1552
10,-16984,326
10,-17072,390
10,-17236,624
10,-17348,466
10,-17208,198
10,-17128,224
10,-17080,662
15,-17272,2050
15,-17120,1628
15,-17044,150
15,-17192,42
15,-17068,816
15,-17048,400
15,-17080,316
15,-17192,858
15,-16880,644
15,-16896,780
15,-17080,1476
15,-16920,60
15,-16908,8
15,-17172,226
15,-17104,288
15,-17160,1032
15,-17152,1474
15,-16996,200
15,-17080,536
15,-16940,1446
15,-17160,2400
15,-17184,454
15,-17280,950
15,-17052,1216
15,-16976,388
15,-17304,964
15,-16992,772
15,-17048,556
15,-17256,1106
15,-16928,608
15,-17000,236
15,-17276,172
15,-17112,808
15,-17036,794
15,-17056,482
15,-17072,254
15,-17100,740
15,-17052,440
15,-17100,1710
15,-16996,220
15,-17340,604
15,-16972,1468
15,-17044,1008
15,-17044,126
15,-16992,928
15,-16908,768
15,-16868,1088
15,-16916,66
15,-16908,1228
15,-16880,1062
15,-17232,556
15,-17216,1086
15,-17072,962
15,-17104,786
15,-17160,198
15,-16992,412
15,-17084,512
15,-17004,1034
15,-17016,104
15,-17052,80
15,-16916,10
15,-17356,1274
15,-17176,2064
15,-17148,658
15,-17180,256
15,-16984,962
15,-16932,108
15,-16972,606
15,-17052,2188
15,-17400,562
15,-16876,932
15,-16972,280
15,-17116,644
15,-16884,598
15,-16900,496
15,-17136,156
15,-17152,2458
15,-17144,1800
15,-17032,144
15,-17200,828
15,-17096,428
15,-17008,850
15,-16876,480
15,-17080,1560
15,-16980,1124
15,-17104,166
15,-16928,54
15,-17120,1734
15,-16988,1486
15,-17132,1522
15,-17000,214
15,-17116,990
15,-17272,1142
15,-17208,32
15,-17164,1216
15,-17144,1692
15,-17020,1588
15,-16924,1140
15,-17060,2186
15,-16932,210
20,-16624,1548
20,-16940,90
20,-16868,918
20,-17172,434
