Beta,Bin,Start,End,Count
0.5,1,-14224.0,-14185.466666666667,1
0.5,2,-14185.466666666667,-14146.933333333332,0
0.5,3,-14146.933333333332,-14108.4,1
0.5,4,-14108.4,-14069.866666666667,1
0.5,5,-14069.866666666667,-14031.333333333334,5
0.5,6,-14031.333333333334,-13992.8,4
0.5,7,-13992.8,-13954.266666666666,4
0.5,8,-13954.266666666666,-13915.733333333334,4
0.5,9,-13915.733333333334,-13877.2,4
0.5,10,-13877.2,-13838.666666666666,4
0.5,11,-13838.666666666666,-13800.133333333333,3
0.5,12,-13800.133333333333,-13761.6,6
0.5,13,-13761.6,-13723.066666666668,5
0.5,14,-13723.066666666668,-13684.533333333333,10
0.5,15,-13684.533333333333,-13646.0,10
0.5,16,-13646.0,-13607.466666666667,5
0.5,17,-13607.466666666667,-13568.933333333334,10
0.5,18,-13568.933333333334,-13530.4,3
0.5,19,-13530.4,-13491.866666666667,3
0.5,20,-13491.866666666667,-13453.333333333334,3
0.5,21,-13453.333333333334,-13414.8,4
0.5,22,-13414.8,-13376.266666666666,4
0.5,23,-13376.266666666666,-13337.733333333334,3
0.5,24,-13337.733333333334,-13299.2,1
0.5,25,-13299.2,-13260.666666666666,1
0.5,26,-13260.666666666666,-13222.133333333333,0
0.5,27,-13222.133333333333,-13183.6,0
0.5,28,-13183.6,-13145.066666666666,0
0.5,29,-13145.066666666666,-13106.533333333333,0
0.5,30,-13106.533333333333,-13068.0,1
1.0,1,-17156.0,-17136.0,1
1.0,2,-17136.0,-17116.0,0
1.0,3,-17116.0,-17096.0,0
1.0,4,-17096.0,-17076.0,2
1.0,5,-17076.0,-17056.0,2
1.0,6,-17056.0,-17036.0,0
1.0,7,-17036.0,-17016.0,2
1.0,8,-17016.0,-16996.0,4
1.0,9,-16996.0,-16976.0,3
1.0,10,-16976.0,-16956.0,3
1.0,11,-16956.0,-16936.0,6
1.0,12,-16936.0,-16916.0,4
1.0,13,-16916.0,-16896.0,5
1.0,14,-16896.0,-16876.0,6
1.0,15,-16876.0,-16856.0,6
1.0,16,-16856.0,-16836.0,9
1.0,17,-16836.0,-16816.0,1
1.0,18,-16816.0,-16796.0,6
1.0,19,-16796.0,-16776.0,5
1.0,20,-16776.0,-16756.0,5
1.0,21,-16756.0,-16736.0,5
1.0,22,-16736.0,-16716.0,4
1.0,23,-16716.0,-16696.0,6
1.0,24,-16696.0,-16676.0,2
1.0,25,-16676.0,-16656.0,4
1.0,26,-16656.0,-16636.0,3
1.0,27,-16636.0,-16616.0,2
1.0,28,-16616.0,-16596.0,1
1.0,29,-16596.0,-16576.0,2
1.0,30,-16576.0,-16556.0,1
5.0,1,-17452.0,-17429.733333333334,1
5.0,2,-17429.733333333334,-17407.466666666667,0
5.0,3,-17407.466666666667,-17385.2,0
5.0,4,-17385.2,-17362.933333333334,2
5.0,5,-17362.933333333334,-17340.666666666668,2
5.0,6,-17340.666666666668,-17318.4,1
5.0,7,-17318.4,-17296.133333333335,5
5.0,8,-17296.133333333335,-17273.866666666665,4
5.0,9,-17273.866666666665,-17251.6,2
5.0,10,-17251.6,-17229.333333333332,5
5.0,11,-17229.333333333332,-17207.066666666666,0
5.0,12,-17207.066666666666,-17184.8,4
5.0,13,-17184.8,-17162.533333333333,6
5.0,14,-17162.533333333333,-17140.266666666666,2
5.0,15,-17140.266666666666,-17118.0,4
5.0,16,-17118.0,-17095.733333333334,9
5.0,17,-17095.733333333334,-17073.466666666667,6
5.0,18,-17073.466666666667,-17051.2,11
5.0,19,-17051.2,-17028.933333333334,5
5.0,20,-17028.933333333334,-17006.666666666668,1
5.0,21,-17006.666666666668,-16984.4,8
5.0,22,-16984.4,-16962.133333333335,5
5.0,23,-16962.133333333335,-16939.866666666665,1
5.0,24,-16939.866666666665,-16917.6,7
5.0,25,-16917.6,-16895.333333333332,0
5.0,26,-16895.333333333332,-16873.066666666666,4
5.0,27,-16873.066666666666,-16850.8,2
5.0,28,-16850.8,-16828.533333333333,1
5.0,29,-16828.533333333333,-16806.266666666666,1
5.0,30,-16806.266666666666,-16784.0,1
10.0,1,-17424.0,-17403.466666666667,2
10.0,2,-17403.466666666667,-17382.933333333334,1
10.0,3,-17382.933333333334,-17362.4,2
10.0,4,-17362.4,-17341.866666666665,5
10.0,5,-17341.866666666665,-17321.333333333332,1
10.0,6,-17321.333333333332,-17300.8,1
10.0,7,-17300.8,-17280.266666666666,1
10.0,8,-17280.266666666666,-17259.733333333334,1
10.0,9,-17259.733333333334,-17239.2,6
10.0,10,-17239.2,-17218.666666666668,3
10.0,11,-17218.666666666668,-17198.133333333335,2
10.0,12,-17198.133333333335,-17177.6,4
10.0,13,-17177.6,-17157.066666666666,4
10.0,14,-17157.066666666666,-17136.533333333333,3
10.0,15,-17136.533333333333,-17116.0,4
10.0,16,-17116.0,-17095.466666666667,12
10.0,17,-17095.466666666667,-17074.933333333334,7
10.0,18,-17074.933333333334,-17054.4,6
10.0,19,-17054.4,-17033.866666666665,4
10.0,20,-17033.866666666665,-17013.333333333332,3
10.0,21,-17013.333333333332,-16992.8,3
10.0,22,-16992.8,-16972.266666666666,9
